info,ffh,mean,predicted,actual
"{'eval_step': 1, 'player_name': 'A.Becker', 'player_position': 'Goalkeeper', 'player_id': '53d0pvr7ylvfhp6p749iniqc5', 'season': 2023, 'gameweek': 2}","{'points': 4.37545072443188, 'mins': 90.0, 'xg': 0.0, 'xa': 0.0114819391891892, 'g90': 0.0, 'a90': 0.0114819391891892, 'cs90': 0.0114819391891892, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}","{'xg': 0.011251628398895264, 'prob_scoring': 0.0111885666847229, 'big_chance_missed': 1.0633909702301025, 'big_chance_scored': 1.6662147045135498, 'on_target': 1.7355973720550537, 'goal_threat': 1.2375686168670654, 'xgnp': 0.0008504436118528247, 'xgnp_fpl': 0.0452488511800766}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 1, 'player_name': 'Diogo J.', 'player_position': 'Attacker', 'player_id': 'bz2p1aiij462e1emd7sh5psd1', 'season': 2023, 'gameweek': 2}","{'points': 3.58620341675571, 'mins': 55.0, 'xg': 0.363185120829086, 'xa': 0.113429417623675, 'g90': 0.594302924993049, 'a90': 0.185611774293286, 'cs90': 0.185611774293286, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.75, 'npxg': 0.4312500059604645, 'npxg_fpl': 0.45249998569488525, 'big_chance_missed': 0.375, 'big_chance_scored': 0.5, 'on_target': 1.0, 'goal_threat': 28.625}","{'xg': 1.5060292482376099, 'prob_scoring': 0.7782111167907715, 'big_chance_missed': 1.1521213054656982, 'big_chance_scored': 1.144679069519043, 'on_target': 1.3734383583068848, 'goal_threat': 0.8788955807685852, 'xgnp': 0.5336307883262634, 'xgnp_fpl': 0.5279566645622253}","{'goals': 1.0, 'npxg': 0.7400000095367432, 'npxg_fpl': 0.6899999976158142, 'big_chance_missed': 0.0, 'big_chance_scored': 1.0, 'on_target': 2.0, 'goal_threat': 98.0}"
"{'eval_step': 1, 'player_name': 'Luis Diaz', 'player_position': 'Attacker', 'player_id': '5ch0r2awkzjfd4hv6kbw6c9gp', 'season': 2023, 'gameweek': 2}","{'points': 4.42693894932199, 'mins': 64.0, 'xg': 0.372162333197475, 'xa': 0.141102497893681, 'g90': 0.523353281058949, 'a90': 0.198425387662989, 'cs90': 0.198425387662989, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.125, 'npxg': 0.13750000298023224, 'npxg_fpl': 0.1862500011920929, 'big_chance_missed': 0.125, 'big_chance_scored': 0.125, 'on_target': 0.125, 'goal_threat': 22.75}","{'xg': 1.1010407209396362, 'prob_scoring': 0.667475163936615, 'big_chance_missed': 1.1816071271896362, 'big_chance_scored': 1.1399869918823242, 'on_target': 1.4121882915496826, 'goal_threat': 0.9510484933853149, 'xgnp': 0.4174211919307709, 'xgnp_fpl': 0.387235164642334}","{'goals': 1.0, 'npxg': 0.18000000715255737, 'npxg_fpl': 0.41999998688697815, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 1.0, 'goal_threat': 28.0}"
"{'eval_step': 1, 'player_name': 'Konate', 'player_position': 'Defender', 'player_id': '2zfjgh5747ge9r9q0thbk123t', 'season': 2023, 'gameweek': 2}","{'points': 4.28596789616307, 'mins': 85.0, 'xg': 0.0683148494717101, 'xa': 0.0408858220502901, 'g90': 0.0723333700288695, 'a90': 0.0432908704061896, 'cs90': 0.0432908704061896, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.023750001564621925, 'npxg_fpl': 0.01875000074505806, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.125, 'goal_threat': 5.25}","{'xg': 0.22159062325954437, 'prob_scoring': 0.19875669479370117, 'big_chance_missed': 0.9802988171577454, 'big_chance_scored': 1.6805307865142822, 'on_target': 1.7769699096679688, 'goal_threat': 1.3713723421096802, 'xgnp': 0.11251997202634811, 'xgnp_fpl': 0.19742530584335327}","{'goals': 0.0, 'npxg': 0.009999999776482582, 'npxg_fpl': 0.05000000074505806, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 4.0}"
"{'eval_step': 1, 'player_name': 'Salah', 'player_position': 'Attacker', 'player_id': '5ilkkfbsss0bxd6ttdlqg0uz9', 'season': 2023, 'gameweek': 2}","{'points': 7.1405620181741, 'mins': 89.0, 'xg': 0.666417761629972, 'xa': 0.344909424681239, 'g90': 0.673905601648286, 'a90': 0.34878481147541, 'cs90': 0.34878481147541, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.125, 'npxg': 0.33124998211860657, 'npxg_fpl': 0.4787500202655792, 'big_chance_missed': 0.5, 'big_chance_scored': 0.375, 'on_target': 0.875, 'goal_threat': 44.25}","{'xg': 1.2565449476242065, 'prob_scoring': 0.7153642177581787, 'big_chance_missed': 1.1683608293533325, 'big_chance_scored': 1.1441212892532349, 'on_target': 1.3868060111999512, 'goal_threat': 0.9078872203826904, 'xgnp': 0.4894227385520935, 'xgnp_fpl': 0.45942193269729614}","{'goals': 1.0, 'npxg': 0.9200000166893005, 'npxg_fpl': 0.4300000071525574, 'big_chance_missed': 2.0, 'big_chance_scored': 1.0, 'on_target': 3.0, 'goal_threat': 79.0}"
"{'eval_step': 1, 'player_name': 'Saka', 'player_position': 'Attacker', 'player_id': '8tc7dcuwdeqbjgt7vw5p38xgq', 'season': 2023, 'gameweek': 2}","{'points': 4.89882290188954, 'mins': 90.0, 'xg': 0.32202954453514, 'xa': 0.209424617909746, 'g90': 0.32202954453514, 'a90': 0.209424617909746, 'cs90': 0.209424617909746, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.25, 'npxg': 0.19874998927116394, 'npxg_fpl': 0.1875, 'big_chance_missed': 0.125, 'big_chance_scored': 0.125, 'on_target': 1.0, 'goal_threat': 29.875}","{'xg': 1.3296451568603516, 'prob_scoring': 0.7354288697242737, 'big_chance_missed': 1.1669578552246094, 'big_chance_scored': 1.13779616355896, 'on_target': 1.4019578695297241, 'goal_threat': 0.9266079664230347, 'xgnp': 0.4434775710105896, 'xgnp_fpl': 0.43509700894355774}","{'goals': 0.0, 'npxg': 0.05999999865889549, 'npxg_fpl': 0.1599999964237213, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 30.0}"
"{'eval_step': 1, 'player_name': 'White', 'player_position': 'Defender', 'player_id': 'cnmlhoum9aahwqruxgmz2gcfd', 'season': 2023, 'gameweek': 2}","{'points': 3.55788031348748, 'mins': 90.0, 'xg': 0.0207436672249945, 'xa': 0.097728177592955, 'g90': 0.0207436672249945, 'a90': 0.097728177592955, 'cs90': 0.097728177592955, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.02250000089406967, 'npxg_fpl': 0.008750000037252903, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.125, 'goal_threat': 3.75}","{'xg': 0.19113612174987793, 'prob_scoring': 0.17397987842559814, 'big_chance_missed': 0.9615499973297119, 'big_chance_scored': 1.7225525379180908, 'on_target': 1.8200783729553223, 'goal_threat': 1.3971421718597412, 'xgnp': 0.10120907425880432, 'xgnp_fpl': 0.19833379983901978}","{'goals': 0.0, 'npxg': 0.0, 'npxg_fpl': 0.0, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 0.0}"
"{'eval_step': 1, 'player_name': 'Thomas', 'player_position': 'Defender', 'player_id': 'dydwiixiims98cx2iihfuf8wl', 'season': 2023, 'gameweek': 2}","{'points': 1.28157186588278, 'mins': 45.0, 'xg': 0.0209308840290948, 'xa': 0.0356205173541248, 'g90': 0.0418617680581896, 'a90': 0.0712410347082495, 'cs90': 0.0712410347082495, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.0, 'npxg': 0.00624999962747097, 'npxg_fpl': 0.044999998062849045, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 3.875}","{'xg': 0.35259518027305603, 'prob_scoring': 0.2971383333206177, 'big_chance_missed': 1.0414371490478516, 'big_chance_scored': 1.547966480255127, 'on_target': 1.6462727785110474, 'goal_threat': 1.298842430114746, 'xgnp': 0.15337881445884705, 'xgnp_fpl': 0.20501473546028137}","{'goals': 0.0, 'npxg': 0.15000000596046448, 'npxg_fpl': 0.07000000029802322, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 1.0, 'goal_threat': 13.0}"
"{'eval_step': 1, 'player_name': 'Martinelli', 'player_position': 'Attacker', 'player_id': '7ocm7nugzwos59il1pm4eub8q', 'season': 2023, 'gameweek': 2}","{'points': 4.73794830347085, 'mins': 78.0, 'xg': 0.274144547337905, 'xa': 0.231709002352941, 'g90': 0.316320631543737, 'a90': 0.267356541176471, 'cs90': 0.267356541176471, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.5, 'npxg': 0.4362500011920929, 'npxg_fpl': 0.29874998331069946, 'big_chance_missed': 0.375, 'big_chance_scored': 0.375, 'on_target': 1.125, 'goal_threat': 40.0}","{'xg': 0.8367241621017456, 'prob_scoring': 0.5668729543685913, 'big_chance_missed': 1.19545316696167, 'big_chance_scored': 1.1570422649383545, 'on_target': 1.3792986869812012, 'goal_threat': 0.9184832572937012, 'xgnp': 0.516025185585022, 'xgnp_fpl': 0.4148149788379669}","{'goals': 0.0, 'npxg': 0.03999999910593033, 'npxg_fpl': 0.10999999940395355, 'big_chance_missed': 0.0, 'big_chance_scored': 0.0, 'on_target': 0.0, 'goal_threat': 17.0}"
"{'eval_step': 1, 'player_name': 'Ødegaard', 'player_position': 'Midfielder', 'player_id': 'b1lcxeihx8z6pfv1jef4j5jh1', 'season': 2023, 'gameweek': 2}","{'points': 4.71652262266596, 'mins': 90.0, 'xg': 0.226763122641678, 'xa': 0.249437966592428, 'g90': 0.226763122641678, 'a90': 0.249437966592428, 'cs90': 0.249437966592428, 'bon90': 0.0, 'gw_fitness': 1.0}","{'goals': 0.5, 'npxg': 0.22374999523162842, 'npxg_fpl': 0.17624998092651367, 'big_chance_missed': 0.125, 'big_chance_scored': 0.125, 'on_target': 0.875, 'goal_threat': 21.25}","{'xg': 1.5770175457000732, 'prob_scoring': 0.7934097051620483, 'big_chance_missed': 1.3922635316848755, 'big_chance_scored': 1.2622853517532349, 'on_target': 1.5385847091674805, 'goal_threat': 1.063286304473877, 'xgnp': 0.45969924330711365, 'xgnp_fpl': 0.4460538625717163}","{'goals': 0.0, 'npxg': 0.11999999731779099, 'npxg_fpl': 0.029999999329447746, 'big_chance_missed': 0.0, 'big_chance_scored': 1.0, 'on_target': 2.0, 'goal_threat': 27.0}"
